Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(6189448k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
31.631: [GC (Allocation Failure) [PSYoungGen: 33600K->352K(38400K)] 78346K->45098K(125952K), 0.0047007 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.879: [GC (Allocation Failure) [PSYoungGen: 33632K->320K(38400K)] 78378K->45074K(125952K), 0.0153849 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
32.227: [GC (Allocation Failure) [PSYoungGen: 33600K->352K(38400K)] 78354K->45114K(125952K), 0.0049078 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
32.463: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78394K->45130K(125952K), 0.0045900 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
32.700: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78410K->45162K(125952K), 0.0047708 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
33.005: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78442K->45186K(125952K), 0.0045506 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
33.302: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78466K->45194K(125952K), 0.0045348 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
33.707: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78474K->45210K(125952K), 0.0045638 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
33.974: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78490K->45226K(125952K), 0.0044093 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
34.231: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78506K->45242K(125952K), 0.0052743 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
34.445: [GC (Allocation Failure) [PSYoungGen: 33629K->352K(38400K)] 78520K->45258K(125952K), 0.0046680 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
34.677: [GC (Allocation Failure) [PSYoungGen: 33632K->256K(38400K)] 78538K->45218K(125952K), 0.0049045 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
34.956: [GC (Allocation Failure) [PSYoungGen: 33536K->256K(38400K)] 78498K->45298K(125952K), 0.0044051 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
35.371: [GC (Allocation Failure) [PSYoungGen: 33536K->192K(38400K)] 78578K->45338K(125952K), 0.0056902 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
35.706: [GC (Allocation Failure) [PSYoungGen: 33471K->128K(38400K)] 78618K->45330K(125952K), 0.0051108 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
36.053: [GC (Allocation Failure) [PSYoungGen: 33408K->128K(38400K)] 78610K->45362K(125952K), 0.0046525 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
36.736: [GC (Allocation Failure) [PSYoungGen: 33408K->192K(38400K)] 78642K->45450K(125952K), 0.0044655 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
54.741: [GC (Allocation Failure) [PSYoungGen: 33472K->352K(38400K)] 78730K->45618K(125952K), 0.0055859 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
54.962: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78898K->45626K(125952K), 0.0047460 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
55.187: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78906K->45626K(125952K), 0.0048535 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
55.480: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78906K->45634K(125952K), 0.0045999 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
56.119: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 78914K->45634K(125952K), 0.0044963 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
56.341: [GC (Allocation Failure) [PSYoungGen: 33632K->384K(38400K)] 78914K->45666K(125952K), 0.0050711 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
