Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(11015288k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
257.912: [GC (Allocation Failure) 257.912: [DefNew: 35226K->271K(39296K), 0.0078496 secs] 80804K->45862K(126720K), 0.0080415 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
258.151: [GC (Allocation Failure) 258.152: [DefNew: 35215K->236K(39296K), 0.0076936 secs] 80806K->45859K(126720K), 0.0078875 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
258.401: [GC (Allocation Failure) 258.401: [DefNew: 35180K->191K(39296K), 0.0083622 secs] 80803K->45870K(126720K), 0.0085575 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
258.767: [GC (Allocation Failure) 258.767: [DefNew: 35135K->112K(39296K), 0.0073773 secs] 80814K->45867K(126720K), 0.0075685 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
259.026: [GC (Allocation Failure) 259.026: [DefNew: 35056K->91K(39296K), 0.0073106 secs] 80811K->45894K(126720K), 0.0075087 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
259.293: [GC (Allocation Failure) 259.293: [DefNew: 35035K->119K(39296K), 0.0075085 secs] 80838K->45949K(126720K), 0.0076992 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
259.677: [GC (Allocation Failure) 259.677: [DefNew: 35063K->183K(39296K), 0.0072795 secs] 80893K->46020K(126720K), 0.0074735 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
259.954: [GC (Allocation Failure) 259.954: [DefNew: 35127K->237K(39296K), 0.0075885 secs] 80964K->46075K(126720K), 0.0077805 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
260.207: [GC (Allocation Failure) 260.207: [DefNew: 35181K->266K(39296K), 0.0077599 secs] 81019K->46104K(126720K), 0.0079852 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
260.512: [GC (Allocation Failure) 260.512: [DefNew: 35210K->276K(39296K), 0.0075002 secs] 81048K->46114K(126720K), 0.0076942 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
260.787: [GC (Allocation Failure) 260.787: [DefNew: 35220K->275K(39296K), 0.0112656 secs] 81058K->46113K(126720K), 0.0114654 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
261.032: [GC (Allocation Failure) 261.032: [DefNew: 35219K->277K(39296K), 0.0083551 secs] 81057K->46116K(126720K), 0.0085529 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
261.267: [GC (Allocation Failure) 261.267: [DefNew: 35221K->281K(39296K), 0.0075799 secs] 81060K->46120K(126720K), 0.0077723 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
Heap
 def new generation   total 39296K, used 27634K [0x00000000f8000000, 0x00000000faaa0000, 0x00000000faaa0000)
  eden space 34944K,  78% used [0x00000000f8000000, 0x00000000f9ab64c8, 0x00000000fa220000)
  from space 4352K,   6% used [0x00000000fa220000, 0x00000000fa266618, 0x00000000fa660000)
  to   space 4352K,   0% used [0x00000000fa660000, 0x00000000fa660000, 0x00000000faaa0000)
 tenured generation   total 87424K, used 45838K [0x00000000faaa0000, 0x0000000100000000, 0x0000000100000000)
